datetime,temp_C,humidity,wind_speed,pressure,precipitation
2004-01-01 00:00:00,0.1,86,7.6,998.2,0.0
2004-01-01 01:00:00,-0.5,89,7.9,998.5,0.0
2004-01-01 02:00:00,-1.0,90,8.6,999.1,0.0
2004-01-01 03:00:00,-1.2,89,8.3,999.3,0.0
2004-01-01 04:00:00,-1.5,90,7.7,999.6,0.0
2004-01-01 05:00:00,-1.9,90,7.7,999.8,0.0
2004-01-01 06:00:00,-1.9,89,7.4,999.5,0.0
2004-01-01 07:00:00,-1.9,88,7.4,1000.3,0.0
2004-01-01 08:00:00,-2.3,89,7.6,1000.3,0.0
2004-01-01 09:00:00,-2.7,90,7.0,1000.6,0.0
2004-01-01 10:00:00,-1.3,89,8.2,1000.7,0.0
2004-01-01 11:00:00,2.0,78,7.7,1001.5,0.0
2004-01-01 12:00:00,4.3,73,8.2,1001.1,0.0
2004-01-01 13:00:00,6.0,70,9.4,1000.1,0.0
2004-01-01 14:00:00,7.4,67,10.8,998.5,0.0
2004-01-01 15:00:00,8.6,64,13.4,997.3,0.0
2004-01-01 16:00:00,9.0,63,13.4,996.7,0.0
2004-01-01 17:00:00,8.7,66,12.5,996.3,0.0
2004-01-01 18:00:00,8.0,67,14.0,995.4,0.0
2004-01-01 19:00:00,7.1,68,14.5,995.2,0.0
2004-01-01 20:00:00,6.4,70,13.7,994.6,0.0
2004-01-01 21:00:00,6.3,68,14.1,994.0,0.0
2004-01-01 22:00:00,6.8,63,14.8,992.9,0.0
2004-01-01 23:00:00,7.3,58,15.5,992.4,0.0
2004-01-02 00:00:00,7.7,57,17.8,992.3,0.3
2004-01-02 01:00:00,7.0,69,18.7,991.3,0.3
2004-01-02 02:00:00,6.2,85,19.2,990.7,0.6
2004-01-02 03:00:00,7.2,91,18.9,990.8,0.6
2004-01-02 04:00:00,7.6,94,19.0,990.7,0.4
2004-01-02 05:00:00,7.8,96,18.1,990.8,0.1
2004-01-02 06:00:00,8.1,97,14.8,989.9,0.1
2004-01-02 07:00:00,8.6,98,15.3,990.2,0.0
2004-01-02 08:00:00,8.9,98,12.2,990.4,0.1
2004-01-02 09:00:00,9.1,98,11.0,991.5,0.2
2004-01-02 10:00:00,9.2,99,10.0,992.0,0.2
2004-01-02 11:00:00,9.5,99,10.7,992.4,0.2
